date,start,high,low,end,volume,foreign,person,company,wondollar
2017.12.27,48960,49560,48460,49360,10743600,-30091,61625,-39076,1074.1
2017.12.26,49760,50100,48200,48200,16039850,994,-109968,98170,1076.1
2017.12.22,49400,49960,49240,49700,11199650,27166,-70729,39951,1079.7
2017.12.21,51000,51060,49100,49140,15624300,-66325,19066,34789,1082.7
2017.12.20,51500,51760,50820,50880,10080550,-63061,-5648,56649,1080.9
2017.12.19,51540,52080,51520,51560,11978600,-14375,-44016,53078,1084.9
2017.12.18,50620,51240,50620,51200,7350250,-18065,-21967,29824,1088.5
2017.12.15,51240,51480,50520,50620,14928550,-53986,16431,24083,1089.8
2017.12.14,51320,52280,51060,51060,20310400,45923,-4520,-52981,1089.1
2017.12.13,52100,52100,51100,51320,11333700,-80565,21757,48101,1090.7
2017.12.12,51820,52100,51660,52100,8765050,17677,-18770,-9084,1092.4
2017.12.11,52000,52040,51500,51780,8125850,-44639,4140,27791,1092.3
2017.12.8,51360,52000,51040,52000,11290450,30024,-38155,3585,1093.3
2017.12.7,50040,50980,50020,50740,11065600,-46607,-14847,56082,1093.5
2017.12.6,51260,51560,50020,50020,10889200,-76054,42831,19677,1093.7
2017.12.5,50600,51300,50280,51260,9326550,-23116,8116,2452,1085.8
2017.12.4,50840,51340,50020,51340,14865050,-22159,19158,-9169,1088.7
2017.12.1,50800,51780,50800,50840,12868600,-56047,26967,18504,1086.4
2017.11.30,50800,51860,50200,50800,29634150,-134664,92635,28136,1088.2
2017.11.29,53200,53240,52500,52600,9590250,-53868,26658,14344,1076.8
2017.11.28,52700,53280,51720,53280,13499400,-36000,8743,14361,1084.4
2017.11.27,55360,55360,52640,52640,18128900,-123294,132438,-22991,1088.6
2017.11.24,55300,55500,55180,55460,4536200,-16380,-4286,8811,1085.4
2017.11.23,55960,55980,55020,55300,6272900,-19016,18513,-12954,1085.4
2017.11.22,55980,56200,55620,55960,7952950,-3498,-14079,13834,1089.1
2017.11.21,55400,55840,55280,55280,10324700,-17218,4819,6802,1095.8
2017.11.20,55900,55980,55200,55200,9472750,-9955,41532,-44004,1100.6
2017.11.17,56400,56880,55820,55820,10733150,66320,-13063,-59497,1097.5
2017.11.16,55440,56000,55400,55780,7640700,15514,50,-20211,1101.4
2017.11.15,55920,56320,55320,55340,8816950,-34849,1044,21029,1112.3
2017.11.14,56380,56740,55920,55920,6725000,-41402,7863,20736,1118.1
2017.11.13,56400,56800,56100,56380,8806650,15247,-10372,-9979,1120.6
2017.11.10,55800,56540,55780,56400,6748800,-11498,-6326,5305,1117.1
2017.11.9,56920,56920,55900,56340,11994050,-19920,20430,-13713,1115.6
2017.11.8,56100,57060,55860,56760,8520200,5942,-10858,-6578,1115.6
2017.11.7,56380,56920,55860,56100,7464550,6510,2622,-20515,1111.9
2017.11.6,56380,56500,55340,56380,9000950,13932,12162,-38364,1115
2017.11.3,57060,57140,55860,56380,9935800,-70889,27834,29961,1113.8
2017.11.2,57500,57520,56760,57060,10721050,9221,3073,-25583,1114.4
2017.11.1,57500,57500,56180,57220,14510250,22083,-40009,4729,1114.5
2017.10.31,54060,55440,53500,55080,13381550,54293,-39879,-10706,1120.3
2017.10.30,53780,54320,53700,54040,8196150,47510,-8027,-35978,1124.6
2017.10.27,52400,53320,52140,53080,7392500,4476,9377,-11000,1130.5
2017.10.26,53720,53900,52400,52400,9776550,-5323,44419,-40186,1124.6
2017.10.25,54040,54420,53700,53900,5882850,19682,10983,-30973,1127.9
2017.10.24,54700,54780,54040,54040,5806050,-10418,8541,1353,1127.4
2017.10.23,54600,54640,54000,54300,8311050,30468,4568,-63065,1130.2
2017.10.20,52800,54100,52800,53840,8027050,29906,-2283,-39735,1131
2017.10.19,54700,54700,52980,52980,12108700,-19892,46171,-46270,1132.4
2017.10.18,54820,55240,54040,54760,10110750,8951,-3285,-23873,1129.9
2017.10.17,54020,55380,54000,54800,10607800,34020,-15898,-35696,1132.5
